,PHI,PHI_unc,M,M_unc,PHI_ufl,M_ufl,NGAL,NGAL_BELOW_BIAS,WEIGHTED_NGAL,INT_NUM_DENS_EIGHTEENFIVE,INT_NUM_DENS_EIGHTEENFIVE_val,INT_NUM_DENS_EIGHTEENFIVE_err,ave_z,low_z,high_z,Weighted_Fraction_LCBGS,Fraction_LCBGS
10_35_LCBG,0.0014100821369502166,6.772472424719449e-05,-20.469904776468063,0.06363432208193347,0.00141+/-0.00007,-20.47+/-0.06,319.0,319.0,533.2461650155097,0.00197+/-0.00012,0.0019651935323463663,0.00011764034067716318,0.225,0.1,0.35,0.10162199906907572,0.07907783837382251
35_55_LCBG,0.0020773852212368042,4.7041881212546766e-05,-20.554816906282824,0.025851384583273858,0.00208+/-0.00005,-20.555+/-0.026,880.0,785.0,1580.104348080247,0.00303+/-0.00008,0.003034093878339397,8.081161249348925e-05,0.45,0.35,0.55,0.28568487385936797,0.21240646874245717
55_75_LCBG,0.003932010833807607,0.00024524788539068685,-20.494006506954225,0.046843979463650084,0.00393+/-0.00025,-20.49+/-0.05,1098.0,935.0,2102.051880469311,0.0056+/-0.0004,0.0055542315499668956,0.0003754173209748821,0.65,0.55,0.75,0.37892172170003086,0.27518796992481204
75_100_LCBG,0.005132688220101483,0.0004982670095726231,-20.603691847226226,0.05400466328566269,0.0051+/-0.0005,-20.60+/-0.05,941.0,894.0,1899.438435297377,0.0077+/-0.0008,0.007695866976482638,0.0007791093149049706,0.875,0.75,1.0,0.4382024697138905,0.3147157190635452
30_80,0.0022716139359088235,0.00020175310292918296,-20.688162070191105,0.08807709527395076,0.00227+/-0.00020,-20.69+/-0.09,2301.0,1507.0,4263.983624022558,0.00356+/-0.00035,0.0035598801300216754,0.00035493176863343073,0.55,0.3,0.8,0.31171825067368014,0.22843244316489625
